data1,data2
0x02,0x000FB2
0x02,0x00111A
0x02,0x0012BB
0x02,0x0014BF
0x02,0x0016E5
0x02,0x00194A
0x02,0x001BF1
0x02,0x001EEE
0x02,0x00220B
0x03,0x00256E
0x03,0x00290A
0x03,0x002CE6
0x03,0x003104
0x04,0x003520
0x04,0x003970
0x04,0x003E11
0x04,0x00426F
0x04,0x004724
0x04,0x004BB4
0x03,0x005009
0x03,0x0054CA
0x02,0x0058FE
0x01,0x005D1C
0x01,0x0060F8
0x00,0x0064B8
0xFE,0x006803
0xFD,0x006B66
0xFC,0x006DE3
0xFB,0x00705B
0xFA,0x00723F
0xF9,0x0073FD
0xF9,0x00753C
0xF8,0x007663
0xF8,0x007657
0xF8,0x007720
0xF8,0x00770C
0xF9,0x00775E
0xF9,0x00768C
0xFA,0x007641
0xFB,0x0075B3
0xFC,0x007489
0xFD,0x0073F5
0xFE,0x0072D0
0xFF,0x0071A1
0x00,0x007005
0x01,0x006EAE
0x02,0x006CEC
0x02,0x006B66
0x03,0x006950
0x03,0x006732
0x03,0x0064EA
0x03,0x0061A5
0x03,0x005F2A
0x03,0x005B64
0x02,0x005817
0x02,0x0053B5
0x02,0x004F50
0x01,0x004AD4
0x01,0x004596
0x01,0x0040E6
0x01,0x003B64
0x00,0x0035F5
0x00,0x003110
0x00,0x002B7E
0x00,0x002643
0x00,0x002196
0x00,0x001CD7
0x00,0x0018F6
0x00,0x001508
0x00,0x0011DA
0xFF,0x000ED7
0xFF,0x000CC3
0xFF,0x000A39
0xFF,0x000912
0xFE,0x00079E
0xFE,0x0006D3
0xFE,0x0006B7
0xFD,0x000607
0xFD,0x000687
0xFD,0x000619
0xFC,0x0006AF
0xFC,0x00069B
0xFC,0x0006F9
0xFC,0x00064D
0xFC,0x000651
0xFC,0x000568
0xFC,0x00050E
0xFC,0x0003CC
0xFC,0x00039C
0xFC,0x000233
0xFC,0x000146
0xFD,0x0000BB
0xFD,0xFFFF26
0xFD,0xFFFE7F
0xFD,0xFFFD6C
0xFE,0xFFFD01
0xFE,0xFFFBC0
0xFE,0xFFFBC4
0xFE,0xFFFB20
0xFE,0xFFFB2A
0xFE,0xFFFA79
0xFE,0xFFFABF
0xFE,0xFFFA27
0xFE,0xFFFA4D
0xFE,0xFFF9CC
0xFE,0xFFF9DA
0xFE,0xFFF960
0xFE,0xFFF97A
0xFE,0xFFF8A7
0xFE,0xFFF875
0xFD,0xFFF6D1
0xFD,0xFFF63F
0xFD,0xFFF4DF
0xFD,0xFFF2FF
0xFC,0xFFF1A6
0xFC,0xFFF02F
0xFB,0xFFEE0C
0xFB,0xFFEC65
0xFA,0xFFEAEF
0xFA,0xFFE94A
0xF9,0xFFE827
0xF9,0xFFE653
0xF9,0xFFE623
0xF8,0xFFE570
0xF8,0xFFE60E
0xF8,0xFFE59C
0xF8,0xFFE72C
0xF8,0xFFE857
0xF9,0xFFE9EC
0xF9,0xFFEB7A
0xF9,0xFFEE31
0xFA,0xFFF0A7
0xFB,0xFFF3C4
0xFB,0xFFF70C
0xFC,0xFFFB05
0xFD,0xFFFFB6
0xFD,0x000419
0xFE,0x000984
0xFE,0x000E4D
0xFF,0x0013F5
0xFF,0x00191C
0xFF,0x001F18
0xFF,0x0023EB
0xFF,0x0029D4
0xFF,0x002E9D
0xFF,0x003431
0xFF,0x003972
0xFF,0x003DD9
0xFF,0x0043C3
0xFF,0x0047B4
0xFE,0x004D78
0xFE,0x00523D
0xFE,0x005695
0xFF,0x005C5B
0xFF,0x005FFD
0xFF,0x006588
0xFF,0x006900
0x00,0x006EA6
0x00,0x0071E1
0x01,0x0076AE
0x01,0x007A6F
0x01,0x007EA4
0x02,0x00825F
0x02,0x00864B
0x03,0x00898F
0x03,0x008D30
0x03,0x008FF9
0x04,0x0092E6
0x04,0x00950E
0x04,0x0096EC
0x04,0x009882
0x04,0x009934
0x03,0x009A66
0x03,0x009A1F
0x03,0x0099D7
0x02,0x009922
0x02,0x009805
0x02,0x00964F
0x01,0x00944F
0x01,0x0091B7
0x00,0x008EDE
0x00,0x008BC9
0x00,0x0087D7
0x00,0x0083F3
0x00,0x007F5C
0x00,0x007AFA
0x00,0x00753C
0x00,0x00704B
0x00,0x0069C3
0x01,0x0064A2
0x01,0x005DCB
0x02,0x00582B
0x03,0x005140
0x03,0x004AAD
0x04,0x00441B
0x05,0x003DCD
0x05,0x00373E
0x06,0x0031A6
0x06,0x002B70
0x07,0x0025C0
0x07,0x00208D
0x07,0x001B9E
0x07,0x001716
0x07,0x001324
0x07,0x000F46
0x07,0x000CE1
0x07,0x00097C
0x06,0x0007B0
0x06,0x000594
0x06,0x0004C3
0x05,0x00036A
0x05,0x000320
0x05,0x0002C3
0x04,0x0002D9
0x04,0x000285
0x03,0x00036A
0x03,0x00032C
0x02,0x000435
0x02,0x00041B
0x01,0x0004FB
0x00,0x00052A
0xFF,0x00061F
0xFF,0x000643
0xFE,0x00072C
0xFD,0x0007E2
0xFC,0x000851
0xFC,0x00092E
0xFB,0x0009B2
0xFB,0x000A79
0xFB,0x000AAD
0xFB,0x000BC4
0xFB,0x000BA6
0xFB,0x000C8F
0xFC,0x000C65
0xFC,0x000D32
0xFD,0x000D7C
0xFE,0x000DA6
0xFF,0x000E3D
0x00,0x000DFB
0x00,0x000EE7
0x01,0x000E4B
0x01,0x000EFE
0x02,0x000E55
0x02,0x000E17
0x02,0x000CE5
0x02,0x000C9F
0x01,0x000B6C
0x01,0x000ACD
0x00,0x0009AA
0xFF,0x0008C1
0xFF,0x000849
0xFE,0x000766
0xFD,0x000792
0xFD,0x00072A
0xFC,0x0007EA
0xFC,0x0007BE
0xFC,0x0009CE
0xFC,0x000A9B
0xFC,0x000CB9
0xFD,0x000F0C
0xFD,0x0011BE
0xFE,0x001499
0xFE,0x001889
0xFF,0x001C1D
0xFF,0x002049
0x00,0x0024B3
0x00,0x0028FE
0x00,0x002DDD
0x00,0x0032CE
0x00,0x003752
0x00,0x003BC4
0x00,0x0040FA
0x00,0x004489
0xFF,0x0049DB
0xFF,0x004DBD
0xFF,0x005207
0xFF,0x0055D3
0xFF,0x0058BC
0xFF,0x005C0D
0x00,0x005EA8
0x00,0x00611A
0x01,0x00635A
0x02,0x0064DC
0x02,0x006655
0x03,0x006728
0x04,0x00681D
0x04,0x0067E1
0x04,0x006865
0x05,0x0067E7
0x05,0x00677A
0x05,0x006786
0x04,0x006625
0x04,0x0065D7
0x03,0x00649B
0x03,0x0063F9
0x02,0x006275
0x01,0x0061FF
0x00,0x006089
0xFF,0x006015
0xFE,0x005F3E
0xFE,0x005F2A
0xFD,0x005E69
0xFD,0x005EA1
0xFD,0x005E0D
0xFD,0x005E2D
0xFE,0x005E07
0xFE,0x005DFB
0xFF,0x005DBF
0xFF,0x005D66
0x00,0x005D14
0x01,0x005C55
0x02,0x005B4E
0x02,0x0059CB
0x03,0x005811
0x03,0x00560B
0x03,0x0053A2
0x03,0x0050F4
0x03,0x004DEF
0x02,0x004AC4
0x02,0x0047D5
0x01,0x0043B6
0x00,0x004061
0xFF,0x003C8D
0xFE,0x003867
0xFD,0x003491
0xFC,0x002FFD
0xFC,0x002CBB
0xFB,0x002877
0xFA,0x00249F
0xFA,0x00206B
0xFA,0x001CD3
0xFA,0x001861
0xFA,0x001538
0xFA,0x00113C
0xFA,0x000D3E
0xFA,0x000976
0xFB,0x0005CE
0xFB,0x0001C2
0xFC,0xFFFD82
0xFC,0xFFF9CA
0xFD,0xFFF4CB
0xFD,0xFFF103
0xFD,0xFFEBBC
0xFE,0xFFE7A2
0xFE,0xFFE247
0xFE,0xFFDD8E
0xFE,0xFFD85F
0xFE,0xFFD35A
0xFE,0xFFCE39
0xFE,0xFFC8FF
0xFE,0xFFC487
0xFE,0xFFBF90
0xFE,0xFFBB54
0xFE,0xFFB723
0xFE,0xFFB37A
0xFE,0xFFB079
0xFE,0xFFAD8A
0xFE,0xFFAB88
0xFE,0xFFA976
0xFE,0xFFA84A
0xFE,0xFFA79A
0xFE,0xFFA71F
0xFE,0xFFA798
0xFE,0xFFA84C
0xFE,0xFFA998
0xFE,0xFFAAFB
0xFF,0xFFAD2D
0xFF,0xFFAF43
0xFF,0xFFB1A8
0xFF,0xFFB49F
0xFF,0xFFB754
0x00,0xFFBA93
0x00,0xFFBD74
0x00,0xFFC0AD
0x00,0xFFC3A8
0x00,0xFFC74A
0x00,0xFFC9C2
0x00,0xFFCE1C
0x00,0xFFD047
0x00,0xFFD428
0x00,0xFFD742
0x00,0xFFDACF
0x00,0xFFDE4D
0xFF,0xFFE21E
0xFF,0xFFE570
0xFF,0xFFE926
0x00,0xFFECD1
0x00,0xFFF164
0x00,0xFFF455
0x00,0xFFF8C3
0x01,0xFFFC71
0x01,0x0000C3
0x02,0x0005A6
0x03,0x000A03
0x03,0x000EF4
0x04,0x001461
0x04,0x001A07
0x05,0x001FD2
0x05,0x002653
0x06,0x002D1E
0x06,0x00342F
0x06,0x003BC5
0x05,0x0043A8
0x05,0x004C37
0x04,0x00547B
0x03,0x005D4E
0x02,0x00667D
0x01,0x006FF5
0x00,0x007930
0xFF,0x0082EC
0xFE,0x008BFF
0xFD,0x0095AF
0xFC,0x009E62
0xFB,0x00A7CF
0xFA,0x00AF63
0xF9,0x00B88C
0xF9,0x00BF00
0xF9,0x00C77F
0xF9,0x00CD28
0xF9,0x00D494
0xF9,0x00DA0F
0xF9,0x00DFE3
0xFA,0x00E571
0xFA,0x00EA5E
0xFB,0x00EF35
0xFB,0x00F351
0xFC,0x00F7EB
0xFD,0x00FB43
0xFD,0x00FF0D
0xFE,0x010214
0xFE,0x0104F0
0xFF,0x01072F
0xFF,0x0109B1
0x00,0x010AFD
0x00,0x010C42
0x00,0x010C80
0x01,0x010C58
0x01,0x010AD4
0x01,0x01099D
0x01,0x0106F2
0x02,0x0103B7
0x02,0x00FF93
0x02,0x00FB1B
0x02,0x00F5F1
0x03,0x00F04E
0x03,0x00E939
0x03,0x00E2B0
0x03,0x00DB93
0x02,0x00D3A3
0x02,0x00CC6A
0x02,0x00C3DD
0x01,0x00BC39
0x00,0x00B3D5
0x00,0x00AB61
0xFF,0x00A2FE
0xFE,0x0099E5
0xFD,0x009175
0xFD,0x00884D
0xFC,0x007F93
0xFC,0x0075EF
0xFB,0x006C61
0xFB,0x006293
0xFB,0x00586B
0xFB,0x004EE4
0xFB,0x0043E5
0xFB,0x003A1D
0xFC,0x002EE4
0xFC,0x002502
0xFD,0x0019ED
0xFD,0x000FA6
0xFE,0x00051A
0xFE,0xFFFAA7
0xFF,0xFFF089
0xFF,0xFFE64F
0xFF,0xFFDCCB
0xFF,0xFFD30F
0xFF,0xFFCA63
0xFF,0xFFC1B8
0xFE,0xFFB994
0xFE,0xFFB1AA
0xFD,0xFFAA32
0xFD,0xFFA3B0
0xFC,0xFF9C8F
0xFB,0xFF9755
0xFB,0xFF90C1
0xFB,0xFF8BBA
0xFA,0xFF8644
0xFA,0xFF8204
0xFA,0xFF7D7D
0xFA,0xFF79B0
0xFB,0xFF7632
0xFB,0xFF72E9
